Gene stable ID	Transcript stable ID	Gene description	GO term accession	GO term name
AAEL003769	AAEL003769-RB	Methionine aminopeptidase [Source:UniProtKB/TrEMBL;Acc:Q0IFY6]	GO:0006508	proteolysis
AAEL003769	AAEL003769-RB	Methionine aminopeptidase [Source:UniProtKB/TrEMBL;Acc:Q0IFY6]	GO:0046872	metal ion binding
AAEL003769	AAEL003769-RB	Methionine aminopeptidase [Source:UniProtKB/TrEMBL;Acc:Q0IFY6]	GO:0004177	aminopeptidase activity
AAEL003769	AAEL003769-RB	Methionine aminopeptidase [Source:UniProtKB/TrEMBL;Acc:Q0IFY6]	GO:0070006	metalloaminopeptidase activity
AAEL003769	AAEL003769-RB	Methionine aminopeptidase [Source:UniProtKB/TrEMBL;Acc:Q0IFY6]	GO:0070084	protein initiator methionine removal
AAEL014635	AAEL014635-RA	engrailed [Source:VB Community Annotation]	GO:0003677	DNA binding
AAEL014635	AAEL014635-RA	engrailed [Source:VB Community Annotation]	GO:0006355	regulation of transcription, DNA-templated
AAEL014635	AAEL014635-RA	engrailed [Source:VB Community Annotation]	GO:0005634	nucleus
AAEL014635	AAEL014635-RA	engrailed [Source:VB Community Annotation]	GO:0043565	sequence-specific DNA binding
AAEL014635	AAEL014635-RA	engrailed [Source:VB Community Annotation]	GO:0007275	multicellular organism development
AAEL014342	AAEL014342-RA			
AAEL017099	AAEL017099-RA		GO:0016021	integral component of membrane
AAEL009122	AAEL009122-RA	cytochrome P450 [Source:VB Community Annotation]	GO:0055114	oxidation-reduction process
AAEL009122	AAEL009122-RA	cytochrome P450 [Source:VB Community Annotation]	GO:0004497	monooxygenase activity
AAEL009122	AAEL009122-RA	cytochrome P450 [Source:VB Community Annotation]	GO:0005506	iron ion binding
AAEL009122	AAEL009122-RA	cytochrome P450 [Source:VB Community Annotation]	GO:0020037	heme binding
AAEL009122	AAEL009122-RA	cytochrome P450 [Source:VB Community Annotation]	GO:0016705	oxidoreductase activity, acting on paired donors, with incorporation or reduction of molecular oxygen
AAEL013202	AAEL013202-RA		GO:0007064	mitotic sister chromatid cohesion
AAEL013202	AAEL013202-RA		GO:0031390	Ctf18 RFC-like complex
AAEL010396	AAEL010396-RB	secreted ferritin G subunit precursor, putative [Source:VB Community Annotation]	GO:0008199	ferric iron binding
AAEL010396	AAEL010396-RB	secreted ferritin G subunit precursor, putative [Source:VB Community Annotation]	GO:0006826	iron ion transport
AAEL010396	AAEL010396-RB	secreted ferritin G subunit precursor, putative [Source:VB Community Annotation]	GO:0006879	cellular iron ion homeostasis
AAEL010396	AAEL010396-RB	secreted ferritin G subunit precursor, putative [Source:VB Community Annotation]	GO:0004322	ferroxidase activity
AAEL010396	AAEL010396-RB	secreted ferritin G subunit precursor, putative [Source:VB Community Annotation]	GO:0005623	cell
AAEL010396	AAEL010396-RA	secreted ferritin G subunit precursor, putative [Source:VB Community Annotation]	GO:0008199	ferric iron binding
AAEL010396	AAEL010396-RA	secreted ferritin G subunit precursor, putative [Source:VB Community Annotation]	GO:0006826	iron ion transport
AAEL010396	AAEL010396-RA	secreted ferritin G subunit precursor, putative [Source:VB Community Annotation]	GO:0006879	cellular iron ion homeostasis
AAEL010396	AAEL010396-RA	secreted ferritin G subunit precursor, putative [Source:VB Community Annotation]	GO:0004322	ferroxidase activity
AAEL010396	AAEL010396-RA	secreted ferritin G subunit precursor, putative [Source:VB Community Annotation]	GO:0005623	cell
AAEL007225	AAEL007225-RA	dynein heavy chain [Source:VB Community Annotation]	GO:0005524	ATP binding
AAEL007225	AAEL007225-RA	dynein heavy chain [Source:VB Community Annotation]	GO:0030286	dynein complex
AAEL007225	AAEL007225-RA	dynein heavy chain [Source:VB Community Annotation]	GO:0003777	microtubule motor activity
AAEL007225	AAEL007225-RA	dynein heavy chain [Source:VB Community Annotation]	GO:0007018	microtubule-based movement
AAEL007225	AAEL007225-RA	dynein heavy chain [Source:VB Community Annotation]	GO:0016887	ATPase activity
AAEL007542	AAEL007542-RA	glutamate decarboxylase [Source:VB Community Annotation]	GO:0003824	catalytic activity
AAEL007542	AAEL007542-RA	glutamate decarboxylase [Source:VB Community Annotation]	GO:0030170	pyridoxal phosphate binding
AAEL007542	AAEL007542-RA	glutamate decarboxylase [Source:VB Community Annotation]	GO:0019752	carboxylic acid metabolic process
AAEL007542	AAEL007542-RA	glutamate decarboxylase [Source:VB Community Annotation]	GO:0016831	carboxy-lyase activity
AAEL000979	AAEL000979-RA			
AAEL003013	AAEL003013-RA	dual specificity mitogen-activated protein kinase kinase 4 MAPKK4 [Source:VB Community Annotation]	GO:0005524	ATP binding
AAEL003013	AAEL003013-RA	dual specificity mitogen-activated protein kinase kinase 4 MAPKK4 [Source:VB Community Annotation]	GO:0006468	protein phosphorylation
AAEL003013	AAEL003013-RA	dual specificity mitogen-activated protein kinase kinase 4 MAPKK4 [Source:VB Community Annotation]	GO:0004674	protein serine/threonine kinase activity
AAEL003013	AAEL003013-RA	dual specificity mitogen-activated protein kinase kinase 4 MAPKK4 [Source:VB Community Annotation]	GO:0004672	protein kinase activity
AAEL001942	AAEL001942-RA	o-sialoglycoprotein endopeptidase [Source:VB Community Annotation]	GO:0005634	nucleus
AAEL001942	AAEL001942-RA	o-sialoglycoprotein endopeptidase [Source:VB Community Annotation]	GO:0046872	metal ion binding
AAEL001942	AAEL001942-RA	o-sialoglycoprotein endopeptidase [Source:VB Community Annotation]	GO:0005737	cytoplasm
AAEL001942	AAEL001942-RA	o-sialoglycoprotein endopeptidase [Source:VB Community Annotation]	GO:0002949	tRNA threonylcarbamoyladenosine modification
AAEL001942	AAEL001942-RA	o-sialoglycoprotein endopeptidase [Source:VB Community Annotation]	GO:0061711	N(6)-L-threonylcarbamoyladenine synthase
AAEL001942	AAEL001942-RA	o-sialoglycoprotein endopeptidase [Source:VB Community Annotation]	GO:0000408	EKC/KEOPS complex
AAEL007208	AAEL007208-RA			
AAEL011160	AAEL011160-RA		GO:0016021	integral component of membrane
AAEL006846	AAEL006846-RA			
AAEL018165	AAEL018165-RA		GO:0003677	DNA binding
AAEL018165	AAEL018165-RA		GO:0006355	regulation of transcription, DNA-templated
AAEL018165	AAEL018165-RA		GO:0005634	nucleus
AAEL018165	AAEL018165-RA		GO:0003700	transcription factor activity, sequence-specific DNA binding
AAEL018165	AAEL018165-RA		GO:0006351	transcription, DNA-templated
AAEL018166	AAEL018166-RA		GO:0003676	nucleic acid binding
AAEL000727	AAEL000727-RA			
AAEL017120	AAEL017120-RA		GO:0016714	oxidoreductase activity, acting on paired donors, with incorporation or reduction of molecular oxygen, reduced pteridine as one donor, and incorporation of one atom of oxygen
AAEL017120	AAEL017120-RA		GO:0055114	oxidation-reduction process
AAEL017120	AAEL017120-RA		GO:0004497	monooxygenase activity
AAEL017120	AAEL017120-RA		GO:0005506	iron ion binding
AAEL017120	AAEL017120-RA		GO:0009072	aromatic amino acid family metabolic process
AAEL017120	AAEL017120-RA		GO:0016597	amino acid binding
AAEL017120	AAEL017120-RA		GO:0004510	tryptophan 5-monooxygenase activity
AAEL017120	AAEL017120-RA		GO:0042427	serotonin biosynthetic process
AAEL017366	AAEL017366-RA		GO:0055114	oxidation-reduction process
AAEL017366	AAEL017366-RA		GO:0004497	monooxygenase activity
AAEL017366	AAEL017366-RA		GO:0005506	iron ion binding
AAEL017366	AAEL017366-RA		GO:0020037	heme binding
AAEL017366	AAEL017366-RA		GO:0016705	oxidoreductase activity, acting on paired donors, with incorporation or reduction of molecular oxygen
AAEL017262	AAEL017262-RA		GO:0042302	structural constituent of cuticle
AAEL005430	AAEL005430-RA			
AAEL002625	AAEL002625-RA		GO:0005576	extracellular region
AAEL002625	AAEL002625-RA		GO:0008061	chitin binding
AAEL002625	AAEL002625-RA		GO:0006030	chitin metabolic process
AAEL015238	AAEL015238-RA	UPF0729 protein AAEL015238 [Source:UniProtKB/Swiss-Prot;Acc:Q16EE5]		
AAEL002676	AAEL002676-RA	angiotensin-converting enzyme [Source:VB Community Annotation]	GO:0016020	membrane
AAEL002676	AAEL002676-RA	angiotensin-converting enzyme [Source:VB Community Annotation]	GO:0006508	proteolysis
AAEL002676	AAEL002676-RA	angiotensin-converting enzyme [Source:VB Community Annotation]	GO:0046872	metal ion binding
AAEL002676	AAEL002676-RA	angiotensin-converting enzyme [Source:VB Community Annotation]	GO:0008237	metallopeptidase activity
AAEL002676	AAEL002676-RA	angiotensin-converting enzyme [Source:VB Community Annotation]	GO:0008241	peptidyl-dipeptidase activity
AAEL002676	AAEL002676-RA	angiotensin-converting enzyme [Source:VB Community Annotation]	GO:0004180	carboxypeptidase activity
AAEL008945	AAEL008945-RA		GO:0009058	biosynthetic process
AAEL008945	AAEL008945-RA		GO:0016740	transferase activity
AAEL002950	AAEL002950-RA			
AAEL002950	AAEL002950-RB			
AAEL013887	AAEL013887-RA		GO:0005515	protein binding
AAEL015316	AAEL015316-RA		GO:0003676	nucleic acid binding
AAEL015316	AAEL015316-RA		GO:0004527	exonuclease activity
AAEL011797	AAEL011797-RA	venom allergen [Source:VB Community Annotation]		
AAEL009288	AAEL009288-RA	mitochondrial ribosomal protein, L48, putative [Source:VB Community Annotation]	GO:0005761	mitochondrial ribosome
AAEL004083	AAEL004083-RA	WD-repeat protein [Source:VB Community Annotation]	GO:0005515	protein binding
AAEL000983	AAEL000983-RD	clathrin coat assembly protein ap19 [Source:VB Community Annotation]	GO:0006810	transport
AAEL000983	AAEL000983-RD	clathrin coat assembly protein ap19 [Source:VB Community Annotation]	GO:0006886	intracellular protein transport
AAEL000983	AAEL000983-RD	clathrin coat assembly protein ap19 [Source:VB Community Annotation]	GO:0016192	vesicle-mediated transport
AAEL000983	AAEL000983-RD	clathrin coat assembly protein ap19 [Source:VB Community Annotation]	GO:0030117	membrane coat
AAEL000983	AAEL000983-RD	clathrin coat assembly protein ap19 [Source:VB Community Annotation]	GO:0015031	protein transport
AAEL000983	AAEL000983-RD	clathrin coat assembly protein ap19 [Source:VB Community Annotation]	GO:0008565	protein transporter activity
AAEL000983	AAEL000983-RC	clathrin coat assembly protein ap19 [Source:VB Community Annotation]	GO:0006810	transport
AAEL000983	AAEL000983-RC	clathrin coat assembly protein ap19 [Source:VB Community Annotation]	GO:0006886	intracellular protein transport
AAEL000983	AAEL000983-RC	clathrin coat assembly protein ap19 [Source:VB Community Annotation]	GO:0016192	vesicle-mediated transport
AAEL000983	AAEL000983-RC	clathrin coat assembly protein ap19 [Source:VB Community Annotation]	GO:0030117	membrane coat
AAEL000983	AAEL000983-RC	clathrin coat assembly protein ap19 [Source:VB Community Annotation]	GO:0015031	protein transport
AAEL000983	AAEL000983-RC	clathrin coat assembly protein ap19 [Source:VB Community Annotation]	GO:0008565	protein transporter activity
AAEL000983	AAEL000983-RB	clathrin coat assembly protein ap19 [Source:VB Community Annotation]	GO:0006810	transport
AAEL000983	AAEL000983-RB	clathrin coat assembly protein ap19 [Source:VB Community Annotation]	GO:0006886	intracellular protein transport
AAEL000983	AAEL000983-RB	clathrin coat assembly protein ap19 [Source:VB Community Annotation]	GO:0016192	vesicle-mediated transport
AAEL000983	AAEL000983-RB	clathrin coat assembly protein ap19 [Source:VB Community Annotation]	GO:0030117	membrane coat
AAEL000983	AAEL000983-RB	clathrin coat assembly protein ap19 [Source:VB Community Annotation]	GO:0015031	protein transport
AAEL000983	AAEL000983-RB	clathrin coat assembly protein ap19 [Source:VB Community Annotation]	GO:0008565	protein transporter activity
AAEL000983	AAEL000983-RE	clathrin coat assembly protein ap19 [Source:VB Community Annotation]	GO:0006810	transport
AAEL000983	AAEL000983-RE	clathrin coat assembly protein ap19 [Source:VB Community Annotation]	GO:0006886	intracellular protein transport
AAEL000983	AAEL000983-RE	clathrin coat assembly protein ap19 [Source:VB Community Annotation]	GO:0016192	vesicle-mediated transport
AAEL000983	AAEL000983-RE	clathrin coat assembly protein ap19 [Source:VB Community Annotation]	GO:0030117	membrane coat
AAEL000983	AAEL000983-RE	clathrin coat assembly protein ap19 [Source:VB Community Annotation]	GO:0015031	protein transport
AAEL000983	AAEL000983-RE	clathrin coat assembly protein ap19 [Source:VB Community Annotation]	GO:0008565	protein transporter activity
AAEL000983	AAEL000983-RA	clathrin coat assembly protein ap19 [Source:VB Community Annotation]	GO:0006810	transport
AAEL000983	AAEL000983-RA	clathrin coat assembly protein ap19 [Source:VB Community Annotation]	GO:0006886	intracellular protein transport
AAEL000983	AAEL000983-RA	clathrin coat assembly protein ap19 [Source:VB Community Annotation]	GO:0016192	vesicle-mediated transport
AAEL000983	AAEL000983-RA	clathrin coat assembly protein ap19 [Source:VB Community Annotation]	GO:0030117	membrane coat
AAEL000983	AAEL000983-RA	clathrin coat assembly protein ap19 [Source:VB Community Annotation]	GO:0015031	protein transport
AAEL000983	AAEL000983-RA	clathrin coat assembly protein ap19 [Source:VB Community Annotation]	GO:0008565	protein transporter activity
AAEL008295	AAEL008295-RA	pupal cuticle protein 78E, putative [Source:VB Community Annotation]	GO:0042302	structural constituent of cuticle
AAEL000940	AAEL000940-RA			
AAEL000268	AAEL000268-RA	lipase [Source:VB Community Annotation]	GO:0052689	carboxylic ester hydrolase activity
AAEL000268	AAEL000268-RA	lipase [Source:VB Community Annotation]	GO:0005576	extracellular region
AAEL000268	AAEL000268-RA	lipase [Source:VB Community Annotation]	GO:0006629	lipid metabolic process
AAEL014703	AAEL014703-RA			
AAEL013119	AAEL013119-RA	charged multivesicular body protein [Source:VB Community Annotation]	GO:0007034	vacuolar transport
AAEL013119	AAEL013119-RB	charged multivesicular body protein [Source:VB Community Annotation]	GO:0007034	vacuolar transport
AAEL013119	AAEL013119-RC	charged multivesicular body protein [Source:VB Community Annotation]	GO:0007034	vacuolar transport
AAEL006143	AAEL006143-RA		GO:0016021	integral component of membrane
AAEL006143	AAEL006143-RA		GO:0044458	motile cilium assembly
AAEL006143	AAEL006143-RA		GO:0005515	protein binding
AAEL006946	AAEL006946-RA	chaperonin [Source:VB Community Annotation]	GO:0005524	ATP binding
AAEL006946	AAEL006946-RA	chaperonin [Source:VB Community Annotation]	GO:0005737	cytoplasm
AAEL006946	AAEL006946-RA	chaperonin [Source:VB Community Annotation]	GO:0006457	protein folding
AAEL006946	AAEL006946-RA	chaperonin [Source:VB Community Annotation]	GO:0051082	unfolded protein binding
AAEL005991	AAEL005991-RA	tricarboxylate transport protein [Source:VB Community Annotation]	GO:0016021	integral component of membrane
AAEL005991	AAEL005991-RA	tricarboxylate transport protein [Source:VB Community Annotation]	GO:0006810	transport
AAEL003561	AAEL003561-RA	phospholipase A2, putative [Source:VB Community Annotation]	GO:0005509	calcium ion binding
AAEL003561	AAEL003561-RA	phospholipase A2, putative [Source:VB Community Annotation]	GO:0005576	extracellular region
AAEL003561	AAEL003561-RA	phospholipase A2, putative [Source:VB Community Annotation]	GO:0006644	phospholipid metabolic process
AAEL003561	AAEL003561-RA	phospholipase A2, putative [Source:VB Community Annotation]	GO:0004623	phospholipase A2 activity
AAEL003561	AAEL003561-RA	phospholipase A2, putative [Source:VB Community Annotation]	GO:0016042	lipid catabolic process
AAEL003561	AAEL003561-RA	phospholipase A2, putative [Source:VB Community Annotation]	GO:0050482	arachidonic acid secretion
AAEL004673	AAEL004673-RA		GO:0070830	bicellular tight junction assembly
AAEL004673	AAEL004673-RA		GO:0005515	protein binding
AAEL005735	AAEL005735-RA			
AAEL005865	AAEL005865-RA	amino acid transporter [Source:VB Community Annotation]	GO:0016021	integral component of membrane
AAEL010966	AAEL010966-RA	ubiquitin carboxyl-terminal hydrolase isozyme L5 [Source:VB Community Annotation]	GO:0005622	intracellular
AAEL010966	AAEL010966-RA	ubiquitin carboxyl-terminal hydrolase isozyme L5 [Source:VB Community Annotation]	GO:0006511	ubiquitin-dependent protein catabolic process
AAEL010966	AAEL010966-RA	ubiquitin carboxyl-terminal hydrolase isozyme L5 [Source:VB Community Annotation]	GO:0016579	protein deubiquitination
AAEL010966	AAEL010966-RA	ubiquitin carboxyl-terminal hydrolase isozyme L5 [Source:VB Community Annotation]	GO:0004843	thiol-dependent ubiquitin-specific protease activity
AAEL010966	AAEL010966-RB	ubiquitin carboxyl-terminal hydrolase isozyme L5 [Source:VB Community Annotation]	GO:0005622	intracellular
AAEL010966	AAEL010966-RB	ubiquitin carboxyl-terminal hydrolase isozyme L5 [Source:VB Community Annotation]	GO:0006511	ubiquitin-dependent protein catabolic process
AAEL010966	AAEL010966-RB	ubiquitin carboxyl-terminal hydrolase isozyme L5 [Source:VB Community Annotation]	GO:0016579	protein deubiquitination
AAEL010966	AAEL010966-RB	ubiquitin carboxyl-terminal hydrolase isozyme L5 [Source:VB Community Annotation]	GO:0004843	thiol-dependent ubiquitin-specific protease activity
AAEL010966	AAEL010966-RC	ubiquitin carboxyl-terminal hydrolase isozyme L5 [Source:VB Community Annotation]	GO:0005622	intracellular
AAEL010966	AAEL010966-RC	ubiquitin carboxyl-terminal hydrolase isozyme L5 [Source:VB Community Annotation]	GO:0006511	ubiquitin-dependent protein catabolic process
AAEL010966	AAEL010966-RC	ubiquitin carboxyl-terminal hydrolase isozyme L5 [Source:VB Community Annotation]	GO:0016579	protein deubiquitination
AAEL010966	AAEL010966-RC	ubiquitin carboxyl-terminal hydrolase isozyme L5 [Source:VB Community Annotation]	GO:0004843	thiol-dependent ubiquitin-specific protease activity
AAEL006024	AAEL006024-RA	vanin-like protein 2 precursor, putative [Source:VB Community Annotation]	GO:0016810	hydrolase activity, acting on carbon-nitrogen (but not peptide) bonds
AAEL006024	AAEL006024-RA	vanin-like protein 2 precursor, putative [Source:VB Community Annotation]	GO:0006807	nitrogen compound metabolic process
AAEL006024	AAEL006024-RA	vanin-like protein 2 precursor, putative [Source:VB Community Annotation]	GO:0016811	hydrolase activity, acting on carbon-nitrogen (but not peptide) bonds, in linear amides
AAEL006067	AAEL006067-RA			
AAEL006327	AAEL006327-RA	sulfotransferase (sult) [Source:VB Community Annotation]	GO:0008146	sulfotransferase activity
AAEL002086	AAEL002086-RA	ER lumen protein retaining receptor [Source:VB Community Annotation]	GO:0016021	integral component of membrane
AAEL002086	AAEL002086-RA	ER lumen protein retaining receptor [Source:VB Community Annotation]	GO:0046923	ER retention sequence binding
AAEL002086	AAEL002086-RA	ER lumen protein retaining receptor [Source:VB Community Annotation]	GO:0006621	protein retention in ER lumen
AAEL002086	AAEL002086-RA	ER lumen protein retaining receptor [Source:VB Community Annotation]	GO:0015031	protein transport
AAEL002086	AAEL002086-RA	ER lumen protein retaining receptor [Source:VB Community Annotation]	GO:0005789	endoplasmic reticulum membrane
AAEL009704	AAEL009704-RA			
AAEL003793	AAEL003793-RA		GO:0003676	nucleic acid binding
AAEL000582	AAEL000582-RA	pickpocket [Source:VB Community Annotation]	GO:0016020	membrane
AAEL000582	AAEL000582-RA	pickpocket [Source:VB Community Annotation]	GO:0016021	integral component of membrane
AAEL000582	AAEL000582-RA	pickpocket [Source:VB Community Annotation]	GO:0006814	sodium ion transport
AAEL000582	AAEL000582-RA	pickpocket [Source:VB Community Annotation]	GO:0005272	sodium channel activity
AAEL014740	AAEL014740-RA	neuronal pas domain protein [Source:VB Community Annotation]	GO:0003677	DNA binding
AAEL014740	AAEL014740-RA	neuronal pas domain protein [Source:VB Community Annotation]	GO:0006355	regulation of transcription, DNA-templated
AAEL014740	AAEL014740-RA	neuronal pas domain protein [Source:VB Community Annotation]	GO:0005634	nucleus
AAEL014740	AAEL014740-RA	neuronal pas domain protein [Source:VB Community Annotation]	GO:0006351	transcription, DNA-templated
AAEL014740	AAEL014740-RA	neuronal pas domain protein [Source:VB Community Annotation]	GO:0046983	protein dimerization activity
AAEL014175	AAEL014175-RA			
AAEL010306	AAEL010306-RA		GO:0016021	integral component of membrane
AAEL008796	AAEL008796-RA		GO:0006355	regulation of transcription, DNA-templated
AAEL008796	AAEL008796-RA		GO:0005634	nucleus
AAEL014825	AAEL014825-RB		GO:0005622	intracellular
AAEL014825	AAEL014825-RB		GO:0006915	apoptotic process
AAEL014825	AAEL014825-RA		GO:0005622	intracellular
AAEL014825	AAEL014825-RA		GO:0006915	apoptotic process
AAEL001899	AAEL001899-RA	juvenile hormone-inducible protein, putative [Source:VB Community Annotation]		
AAEL006936	AAEL006936-RA		GO:0005622	intracellular
AAEL006936	AAEL006936-RA		GO:0035556	intracellular signal transduction
AAEL006936	AAEL006936-RA		GO:0040008	regulation of growth
AAEL006936	AAEL006936-RB		GO:0005622	intracellular
AAEL006936	AAEL006936-RB		GO:0035556	intracellular signal transduction
AAEL006936	AAEL006936-RB		GO:0040008	regulation of growth
AAEL009637	AAEL009637-RA	cathepsin b [Source:VB Community Annotation]	GO:0006508	proteolysis
AAEL009637	AAEL009637-RA	cathepsin b [Source:VB Community Annotation]	GO:0008234	cysteine-type peptidase activity
AAEL009637	AAEL009637-RA	cathepsin b [Source:VB Community Annotation]	GO:0004197	cysteine-type endopeptidase activity
AAEL009637	AAEL009637-RA	cathepsin b [Source:VB Community Annotation]	GO:0050790	regulation of catalytic activity
AAEL007251	AAEL007251-RA	zinc finger protein, putative [Source:VB Community Annotation]	GO:0008270	zinc ion binding
AAEL007251	AAEL007251-RA	zinc finger protein, putative [Source:VB Community Annotation]	GO:0005634	nucleus
AAEL007251	AAEL007251-RA	zinc finger protein, putative [Source:VB Community Annotation]	GO:0003676	nucleic acid binding
AAEL010476	AAEL010476-RA	sil1 [Source:VB Community Annotation]	GO:0005488	binding
AAEL000839	AAEL000839-RA	O-fucosyltransferase, putative [Source:VB Community Annotation]	GO:0016757	transferase activity, transferring glycosyl groups
AAEL006173	AAEL006173-RA			
AAEL001237	AAEL001237-RA			
AAEL002914	AAEL002914-RA			
AAEL002248	AAEL002248-RA		GO:0003676	nucleic acid binding
AAEL007637	AAEL007637-RA	AAA ATPase [Source:VB Community Annotation]	GO:0005524	ATP binding
AAEL007637	AAEL007637-RA	AAA ATPase [Source:VB Community Annotation]	GO:0005874	microtubule
AAEL007637	AAEL007637-RA	AAA ATPase [Source:VB Community Annotation]	GO:0005737	cytoplasm
AAEL007637	AAEL007637-RA	AAA ATPase [Source:VB Community Annotation]	GO:0007049	cell cycle
AAEL007637	AAEL007637-RA	AAA ATPase [Source:VB Community Annotation]	GO:0008017	microtubule binding
