NCBI gene ID	Gene description	GOSlim GOA Accession(s)	GOSlim GOA Description
5573265	Cytosolic Fe-S cluster assembly factor NUBP1 homolog [Source:VB Community Annotation]	GO:0003674	molecular_function
5567244		GO:0003674	molecular_function
5567244		GO:0043167	ion binding
5567244		GO:0005623	cell
5567244		GO:0005622	intracellular
5567244		GO:0005634	nucleus
5567244		GO:0043226	organelle
5567244		GO:0005575	cellular_component
5567244		GO:0003677	DNA binding
5576873		GO:0005198	structural molecule activity
5576873		GO:0003674	molecular_function
5564212	60S ribosomal protein L29 [Source:UniProtKB/TrEMBL;Acc:Q1HRL5]	GO:0003674	molecular_function
5564212	60S ribosomal protein L29 [Source:UniProtKB/TrEMBL;Acc:Q1HRL5]	GO:0003735	structural constituent of ribosome
5564212	60S ribosomal protein L29 [Source:UniProtKB/TrEMBL;Acc:Q1HRL5]	GO:0005198	structural molecule activity
5564212	60S ribosomal protein L29 [Source:UniProtKB/TrEMBL;Acc:Q1HRL5]	GO:0005623	cell
5564212	60S ribosomal protein L29 [Source:UniProtKB/TrEMBL;Acc:Q1HRL5]	GO:0032991	protein-containing complex
5564212	60S ribosomal protein L29 [Source:UniProtKB/TrEMBL;Acc:Q1HRL5]	GO:0043226	organelle
5564212	60S ribosomal protein L29 [Source:UniProtKB/TrEMBL;Acc:Q1HRL5]	GO:0005840	ribosome
5564212	60S ribosomal protein L29 [Source:UniProtKB/TrEMBL;Acc:Q1HRL5]	GO:0005737	cytoplasm
5564212	60S ribosomal protein L29 [Source:UniProtKB/TrEMBL;Acc:Q1HRL5]	GO:0005575	cellular_component
5564212	60S ribosomal protein L29 [Source:UniProtKB/TrEMBL;Acc:Q1HRL5]	GO:0005622	intracellular
5564212	60S ribosomal protein L29 [Source:UniProtKB/TrEMBL;Acc:Q1HRL5]	GO:0034641	cellular nitrogen compound metabolic process
5564212	60S ribosomal protein L29 [Source:UniProtKB/TrEMBL;Acc:Q1HRL5]	GO:0008150	biological_process
5564212	60S ribosomal protein L29 [Source:UniProtKB/TrEMBL;Acc:Q1HRL5]	GO:0009058	biosynthetic process
5564212	60S ribosomal protein L29 [Source:UniProtKB/TrEMBL;Acc:Q1HRL5]	GO:0006412	translation
5566451		GO:0003674	molecular_function
5566451		GO:0005198	structural molecule activity
5578426	DNA-directed RNA polymerase II 13.3 kDa polypeptide [Source:VB Community Annotation]	GO:0043226	organelle
5578426	DNA-directed RNA polymerase II 13.3 kDa polypeptide [Source:VB Community Annotation]	GO:0005654	nucleoplasm
5578426	DNA-directed RNA polymerase II 13.3 kDa polypeptide [Source:VB Community Annotation]	GO:0005634	nucleus
5578426	DNA-directed RNA polymerase II 13.3 kDa polypeptide [Source:VB Community Annotation]	GO:0009058	biosynthetic process
5578426	DNA-directed RNA polymerase II 13.3 kDa polypeptide [Source:VB Community Annotation]	GO:0008150	biological_process
5578426	DNA-directed RNA polymerase II 13.3 kDa polypeptide [Source:VB Community Annotation]	GO:0034641	cellular nitrogen compound metabolic process
5578426	DNA-directed RNA polymerase II 13.3 kDa polypeptide [Source:VB Community Annotation]	GO:0003674	molecular_function
5578426	DNA-directed RNA polymerase II 13.3 kDa polypeptide [Source:VB Community Annotation]	GO:0016779	nucleotidyltransferase activity
5578426	DNA-directed RNA polymerase II 13.3 kDa polypeptide [Source:VB Community Annotation]	GO:0003677	DNA binding
5578426	DNA-directed RNA polymerase II 13.3 kDa polypeptide [Source:VB Community Annotation]	GO:0005575	cellular_component
5578426	DNA-directed RNA polymerase II 13.3 kDa polypeptide [Source:VB Community Annotation]	GO:0005622	intracellular
5578426	DNA-directed RNA polymerase II 13.3 kDa polypeptide [Source:VB Community Annotation]	GO:0005623	cell
5578426	DNA-directed RNA polymerase II 13.3 kDa polypeptide [Source:VB Community Annotation]	GO:0032991	protein-containing complex
5576158	helicase [Source:VB Community Annotation]	GO:0000228	nuclear chromosome
5576158	helicase [Source:VB Community Annotation]	GO:0005575	cellular_component
5576158	helicase [Source:VB Community Annotation]	GO:0005622	intracellular
5576158	helicase [Source:VB Community Annotation]	GO:0005623	cell
5576158	helicase [Source:VB Community Annotation]	GO:0005634	nucleus
5576158	helicase [Source:VB Community Annotation]	GO:0005694	chromosome
5576158	helicase [Source:VB Community Annotation]	GO:0043226	organelle
5576158	helicase [Source:VB Community Annotation]	GO:0003674	molecular_function
5576158	helicase [Source:VB Community Annotation]	GO:0003677	DNA binding
5576158	helicase [Source:VB Community Annotation]	GO:0043167	ion binding
5576158	helicase [Source:VB Community Annotation]	GO:0034641	cellular nitrogen compound metabolic process
5576158	helicase [Source:VB Community Annotation]	GO:0008150	biological_process
5576158	helicase [Source:VB Community Annotation]	GO:0006259	DNA metabolic process
5576158	helicase [Source:VB Community Annotation]	GO:0006950	response to stress
5576158	helicase [Source:VB Community Annotation]	GO:0051276	chromosome organization
5576158	helicase [Source:VB Community Annotation]	GO:0009058	biosynthetic process
5576158	helicase [Source:VB Community Annotation]	GO:0016887	ATPase activity
5576158	helicase [Source:VB Community Annotation]	GO:0032991	protein-containing complex
5580149		GO:0003674	molecular_function
5580149		GO:0005198	structural molecule activity
5575939	glutaminyl-peptide cyclotransferase [Source:VB Community Annotation]	GO:0016746	transferase activity, transferring acyl groups
5575939	glutaminyl-peptide cyclotransferase [Source:VB Community Annotation]	GO:0003674	molecular_function
5566222		GO:0003674	molecular_function
5576497		GO:0003674	molecular_function
5569525		GO:0003674	molecular_function
5569525		GO:0005575	cellular_component
5569525		GO:0008150	biological_process
5569525		GO:0007165	signal transduction
110679193		GO:0008150	biological_process
110679193		GO:0016491	oxidoreductase activity
110679193		GO:0003674	molecular_function
110678184		GO:0003674	molecular_function
110679796	Histone H4 [Source:UniProtKB/TrEMBL;Acc:Q16IE4]	GO:0003674	molecular_function
5578499	Histone H4 [Source:UniProtKB/TrEMBL;Acc:Q16IE4]	GO:0003674	molecular_function
5578471	Histone H4 [Source:UniProtKB/TrEMBL;Acc:Q16IE4]	GO:0003674	molecular_function
5579080	Histone H4 [Source:UniProtKB/TrEMBL;Acc:Q16IE4]	GO:0003674	molecular_function
5578785	Histone H4 [Source:UniProtKB/TrEMBL;Acc:Q16IE4]	GO:0003674	molecular_function
5579082	Histone H4 [Source:UniProtKB/TrEMBL;Acc:Q16IE4]	GO:0003674	molecular_function
5578467	Histone H4 [Source:UniProtKB/TrEMBL;Acc:Q16IE4]	GO:0003674	molecular_function
5578784	Histone H4 [Source:UniProtKB/TrEMBL;Acc:Q16IE4]	GO:0003674	molecular_function
5579077	Histone H4 [Source:UniProtKB/TrEMBL;Acc:Q16IE4]	GO:0003674	molecular_function
110679796	Histone H4 [Source:UniProtKB/TrEMBL;Acc:Q16IE4]	GO:0003677	DNA binding
5578499	Histone H4 [Source:UniProtKB/TrEMBL;Acc:Q16IE4]	GO:0003677	DNA binding
5578471	Histone H4 [Source:UniProtKB/TrEMBL;Acc:Q16IE4]	GO:0003677	DNA binding
5579080	Histone H4 [Source:UniProtKB/TrEMBL;Acc:Q16IE4]	GO:0003677	DNA binding
5578785	Histone H4 [Source:UniProtKB/TrEMBL;Acc:Q16IE4]	GO:0003677	DNA binding
5579082	Histone H4 [Source:UniProtKB/TrEMBL;Acc:Q16IE4]	GO:0003677	DNA binding
5578467	Histone H4 [Source:UniProtKB/TrEMBL;Acc:Q16IE4]	GO:0003677	DNA binding
5578784	Histone H4 [Source:UniProtKB/TrEMBL;Acc:Q16IE4]	GO:0003677	DNA binding
5579077	Histone H4 [Source:UniProtKB/TrEMBL;Acc:Q16IE4]	GO:0003677	DNA binding
110679796	Histone H4 [Source:UniProtKB/TrEMBL;Acc:Q16IE4]	GO:0005575	cellular_component
5578499	Histone H4 [Source:UniProtKB/TrEMBL;Acc:Q16IE4]	GO:0005575	cellular_component
5578471	Histone H4 [Source:UniProtKB/TrEMBL;Acc:Q16IE4]	GO:0005575	cellular_component
5579080	Histone H4 [Source:UniProtKB/TrEMBL;Acc:Q16IE4]	GO:0005575	cellular_component
5578785	Histone H4 [Source:UniProtKB/TrEMBL;Acc:Q16IE4]	GO:0005575	cellular_component
5579082	Histone H4 [Source:UniProtKB/TrEMBL;Acc:Q16IE4]	GO:0005575	cellular_component
5578467	Histone H4 [Source:UniProtKB/TrEMBL;Acc:Q16IE4]	GO:0005575	cellular_component
5578784	Histone H4 [Source:UniProtKB/TrEMBL;Acc:Q16IE4]	GO:0005575	cellular_component
5579077	Histone H4 [Source:UniProtKB/TrEMBL;Acc:Q16IE4]	GO:0005575	cellular_component
110679796	Histone H4 [Source:UniProtKB/TrEMBL;Acc:Q16IE4]	GO:0005622	intracellular
5578499	Histone H4 [Source:UniProtKB/TrEMBL;Acc:Q16IE4]	GO:0005622	intracellular
5578471	Histone H4 [Source:UniProtKB/TrEMBL;Acc:Q16IE4]	GO:0005622	intracellular
5579080	Histone H4 [Source:UniProtKB/TrEMBL;Acc:Q16IE4]	GO:0005622	intracellular
5578785	Histone H4 [Source:UniProtKB/TrEMBL;Acc:Q16IE4]	GO:0005622	intracellular
5579082	Histone H4 [Source:UniProtKB/TrEMBL;Acc:Q16IE4]	GO:0005622	intracellular
5578467	Histone H4 [Source:UniProtKB/TrEMBL;Acc:Q16IE4]	GO:0005622	intracellular
5578784	Histone H4 [Source:UniProtKB/TrEMBL;Acc:Q16IE4]	GO:0005622	intracellular
5579077	Histone H4 [Source:UniProtKB/TrEMBL;Acc:Q16IE4]	GO:0005622	intracellular
110679796	Histone H4 [Source:UniProtKB/TrEMBL;Acc:Q16IE4]	GO:0005623	cell
5578499	Histone H4 [Source:UniProtKB/TrEMBL;Acc:Q16IE4]	GO:0005623	cell
5578471	Histone H4 [Source:UniProtKB/TrEMBL;Acc:Q16IE4]	GO:0005623	cell
5579080	Histone H4 [Source:UniProtKB/TrEMBL;Acc:Q16IE4]	GO:0005623	cell
5578785	Histone H4 [Source:UniProtKB/TrEMBL;Acc:Q16IE4]	GO:0005623	cell
5579082	Histone H4 [Source:UniProtKB/TrEMBL;Acc:Q16IE4]	GO:0005623	cell
5578467	Histone H4 [Source:UniProtKB/TrEMBL;Acc:Q16IE4]	GO:0005623	cell
5578784	Histone H4 [Source:UniProtKB/TrEMBL;Acc:Q16IE4]	GO:0005623	cell
5579077	Histone H4 [Source:UniProtKB/TrEMBL;Acc:Q16IE4]	GO:0005623	cell
110679796	Histone H4 [Source:UniProtKB/TrEMBL;Acc:Q16IE4]	GO:0005694	chromosome
5578499	Histone H4 [Source:UniProtKB/TrEMBL;Acc:Q16IE4]	GO:0005694	chromosome
5578471	Histone H4 [Source:UniProtKB/TrEMBL;Acc:Q16IE4]	GO:0005694	chromosome
5579080	Histone H4 [Source:UniProtKB/TrEMBL;Acc:Q16IE4]	GO:0005694	chromosome
5578785	Histone H4 [Source:UniProtKB/TrEMBL;Acc:Q16IE4]	GO:0005694	chromosome
5579082	Histone H4 [Source:UniProtKB/TrEMBL;Acc:Q16IE4]	GO:0005694	chromosome
5578467	Histone H4 [Source:UniProtKB/TrEMBL;Acc:Q16IE4]	GO:0005694	chromosome
5578784	Histone H4 [Source:UniProtKB/TrEMBL;Acc:Q16IE4]	GO:0005694	chromosome
5579077	Histone H4 [Source:UniProtKB/TrEMBL;Acc:Q16IE4]	GO:0005694	chromosome
110679796	Histone H4 [Source:UniProtKB/TrEMBL;Acc:Q16IE4]	GO:0043226	organelle
5578499	Histone H4 [Source:UniProtKB/TrEMBL;Acc:Q16IE4]	GO:0043226	organelle
5578471	Histone H4 [Source:UniProtKB/TrEMBL;Acc:Q16IE4]	GO:0043226	organelle
5579080	Histone H4 [Source:UniProtKB/TrEMBL;Acc:Q16IE4]	GO:0043226	organelle
5578785	Histone H4 [Source:UniProtKB/TrEMBL;Acc:Q16IE4]	GO:0043226	organelle
5579082	Histone H4 [Source:UniProtKB/TrEMBL;Acc:Q16IE4]	GO:0043226	organelle
5578467	Histone H4 [Source:UniProtKB/TrEMBL;Acc:Q16IE4]	GO:0043226	organelle
5578784	Histone H4 [Source:UniProtKB/TrEMBL;Acc:Q16IE4]	GO:0043226	organelle
5579077	Histone H4 [Source:UniProtKB/TrEMBL;Acc:Q16IE4]	GO:0043226	organelle
110679796	Histone H4 [Source:UniProtKB/TrEMBL;Acc:Q16IE4]	GO:0032991	protein-containing complex
5578499	Histone H4 [Source:UniProtKB/TrEMBL;Acc:Q16IE4]	GO:0032991	protein-containing complex
5578471	Histone H4 [Source:UniProtKB/TrEMBL;Acc:Q16IE4]	GO:0032991	protein-containing complex
5579080	Histone H4 [Source:UniProtKB/TrEMBL;Acc:Q16IE4]	GO:0032991	protein-containing complex
5578785	Histone H4 [Source:UniProtKB/TrEMBL;Acc:Q16IE4]	GO:0032991	protein-containing complex
5579082	Histone H4 [Source:UniProtKB/TrEMBL;Acc:Q16IE4]	GO:0032991	protein-containing complex
5578467	Histone H4 [Source:UniProtKB/TrEMBL;Acc:Q16IE4]	GO:0032991	protein-containing complex
5578784	Histone H4 [Source:UniProtKB/TrEMBL;Acc:Q16IE4]	GO:0032991	protein-containing complex
5579077	Histone H4 [Source:UniProtKB/TrEMBL;Acc:Q16IE4]	GO:0032991	protein-containing complex
110679796	Histone H4 [Source:UniProtKB/TrEMBL;Acc:Q16IE4]	GO:0005634	nucleus
5578499	Histone H4 [Source:UniProtKB/TrEMBL;Acc:Q16IE4]	GO:0005634	nucleus
5578471	Histone H4 [Source:UniProtKB/TrEMBL;Acc:Q16IE4]	GO:0005634	nucleus
5579080	Histone H4 [Source:UniProtKB/TrEMBL;Acc:Q16IE4]	GO:0005634	nucleus
5578785	Histone H4 [Source:UniProtKB/TrEMBL;Acc:Q16IE4]	GO:0005634	nucleus
5579082	Histone H4 [Source:UniProtKB/TrEMBL;Acc:Q16IE4]	GO:0005634	nucleus
5578467	Histone H4 [Source:UniProtKB/TrEMBL;Acc:Q16IE4]	GO:0005634	nucleus
5578784	Histone H4 [Source:UniProtKB/TrEMBL;Acc:Q16IE4]	GO:0005634	nucleus
5579077	Histone H4 [Source:UniProtKB/TrEMBL;Acc:Q16IE4]	GO:0005634	nucleus
110679796	Histone H4 [Source:UniProtKB/TrEMBL;Acc:Q16IE4]	GO:0009058	biosynthetic process
5578499	Histone H4 [Source:UniProtKB/TrEMBL;Acc:Q16IE4]	GO:0009058	biosynthetic process
5578471	Histone H4 [Source:UniProtKB/TrEMBL;Acc:Q16IE4]	GO:0009058	biosynthetic process
5579080	Histone H4 [Source:UniProtKB/TrEMBL;Acc:Q16IE4]	GO:0009058	biosynthetic process
5578785	Histone H4 [Source:UniProtKB/TrEMBL;Acc:Q16IE4]	GO:0009058	biosynthetic process
5579082	Histone H4 [Source:UniProtKB/TrEMBL;Acc:Q16IE4]	GO:0009058	biosynthetic process
5578467	Histone H4 [Source:UniProtKB/TrEMBL;Acc:Q16IE4]	GO:0009058	biosynthetic process
5578784	Histone H4 [Source:UniProtKB/TrEMBL;Acc:Q16IE4]	GO:0009058	biosynthetic process
5579077	Histone H4 [Source:UniProtKB/TrEMBL;Acc:Q16IE4]	GO:0009058	biosynthetic process
110679796	Histone H4 [Source:UniProtKB/TrEMBL;Acc:Q16IE4]	GO:0051276	chromosome organization
5578499	Histone H4 [Source:UniProtKB/TrEMBL;Acc:Q16IE4]	GO:0051276	chromosome organization
5578471	Histone H4 [Source:UniProtKB/TrEMBL;Acc:Q16IE4]	GO:0051276	chromosome organization
5579080	Histone H4 [Source:UniProtKB/TrEMBL;Acc:Q16IE4]	GO:0051276	chromosome organization
5578785	Histone H4 [Source:UniProtKB/TrEMBL;Acc:Q16IE4]	GO:0051276	chromosome organization
5579082	Histone H4 [Source:UniProtKB/TrEMBL;Acc:Q16IE4]	GO:0051276	chromosome organization
5578467	Histone H4 [Source:UniProtKB/TrEMBL;Acc:Q16IE4]	GO:0051276	chromosome organization
5578784	Histone H4 [Source:UniProtKB/TrEMBL;Acc:Q16IE4]	GO:0051276	chromosome organization
5579077	Histone H4 [Source:UniProtKB/TrEMBL;Acc:Q16IE4]	GO:0051276	chromosome organization
110679796	Histone H4 [Source:UniProtKB/TrEMBL;Acc:Q16IE4]	GO:0022607	cellular component assembly
5578499	Histone H4 [Source:UniProtKB/TrEMBL;Acc:Q16IE4]	GO:0022607	cellular component assembly
5578471	Histone H4 [Source:UniProtKB/TrEMBL;Acc:Q16IE4]	GO:0022607	cellular component assembly
5579080	Histone H4 [Source:UniProtKB/TrEMBL;Acc:Q16IE4]	GO:0022607	cellular component assembly
5578785	Histone H4 [Source:UniProtKB/TrEMBL;Acc:Q16IE4]	GO:0022607	cellular component assembly
5579082	Histone H4 [Source:UniProtKB/TrEMBL;Acc:Q16IE4]	GO:0022607	cellular component assembly
5578467	Histone H4 [Source:UniProtKB/TrEMBL;Acc:Q16IE4]	GO:0022607	cellular component assembly
5578784	Histone H4 [Source:UniProtKB/TrEMBL;Acc:Q16IE4]	GO:0022607	cellular component assembly
5579077	Histone H4 [Source:UniProtKB/TrEMBL;Acc:Q16IE4]	GO:0022607	cellular component assembly
110679796	Histone H4 [Source:UniProtKB/TrEMBL;Acc:Q16IE4]	GO:0065003	protein-containing complex assembly
5578499	Histone H4 [Source:UniProtKB/TrEMBL;Acc:Q16IE4]	GO:0065003	protein-containing complex assembly
5578471	Histone H4 [Source:UniProtKB/TrEMBL;Acc:Q16IE4]	GO:0065003	protein-containing complex assembly
5579080	Histone H4 [Source:UniProtKB/TrEMBL;Acc:Q16IE4]	GO:0065003	protein-containing complex assembly
5578785	Histone H4 [Source:UniProtKB/TrEMBL;Acc:Q16IE4]	GO:0065003	protein-containing complex assembly
5579082	Histone H4 [Source:UniProtKB/TrEMBL;Acc:Q16IE4]	GO:0065003	protein-containing complex assembly
5578467	Histone H4 [Source:UniProtKB/TrEMBL;Acc:Q16IE4]	GO:0065003	protein-containing complex assembly
5578784	Histone H4 [Source:UniProtKB/TrEMBL;Acc:Q16IE4]	GO:0065003	protein-containing complex assembly
5579077	Histone H4 [Source:UniProtKB/TrEMBL;Acc:Q16IE4]	GO:0065003	protein-containing complex assembly
110679796	Histone H4 [Source:UniProtKB/TrEMBL;Acc:Q16IE4]	GO:0034641	cellular nitrogen compound metabolic process
5578499	Histone H4 [Source:UniProtKB/TrEMBL;Acc:Q16IE4]	GO:0034641	cellular nitrogen compound metabolic process
5578471	Histone H4 [Source:UniProtKB/TrEMBL;Acc:Q16IE4]	GO:0034641	cellular nitrogen compound metabolic process
5579080	Histone H4 [Source:UniProtKB/TrEMBL;Acc:Q16IE4]	GO:0034641	cellular nitrogen compound metabolic process
5578785	Histone H4 [Source:UniProtKB/TrEMBL;Acc:Q16IE4]	GO:0034641	cellular nitrogen compound metabolic process
5579082	Histone H4 [Source:UniProtKB/TrEMBL;Acc:Q16IE4]	GO:0034641	cellular nitrogen compound metabolic process
5578467	Histone H4 [Source:UniProtKB/TrEMBL;Acc:Q16IE4]	GO:0034641	cellular nitrogen compound metabolic process
5578784	Histone H4 [Source:UniProtKB/TrEMBL;Acc:Q16IE4]	GO:0034641	cellular nitrogen compound metabolic process
5579077	Histone H4 [Source:UniProtKB/TrEMBL;Acc:Q16IE4]	GO:0034641	cellular nitrogen compound metabolic process
110679796	Histone H4 [Source:UniProtKB/TrEMBL;Acc:Q16IE4]	GO:0008150	biological_process
5578499	Histone H4 [Source:UniProtKB/TrEMBL;Acc:Q16IE4]	GO:0008150	biological_process
5578471	Histone H4 [Source:UniProtKB/TrEMBL;Acc:Q16IE4]	GO:0008150	biological_process
5579080	Histone H4 [Source:UniProtKB/TrEMBL;Acc:Q16IE4]	GO:0008150	biological_process
5578785	Histone H4 [Source:UniProtKB/TrEMBL;Acc:Q16IE4]	GO:0008150	biological_process
5579082	Histone H4 [Source:UniProtKB/TrEMBL;Acc:Q16IE4]	GO:0008150	biological_process
5578467	Histone H4 [Source:UniProtKB/TrEMBL;Acc:Q16IE4]	GO:0008150	biological_process
5578784	Histone H4 [Source:UniProtKB/TrEMBL;Acc:Q16IE4]	GO:0008150	biological_process
5579077	Histone H4 [Source:UniProtKB/TrEMBL;Acc:Q16IE4]	GO:0008150	biological_process
110677894	b-cell lymphoma/leukemia [Source:VB Community Annotation]	GO:0003674	molecular_function
5574073	Kelch-like protein diablo [Source:UniProtKB/Swiss-Prot;Acc:Q16RL8]	GO:0003674	molecular_function
5574073	Kelch-like protein diablo [Source:UniProtKB/Swiss-Prot;Acc:Q16RL8]	GO:0008092	cytoskeletal protein binding
5574073	Kelch-like protein diablo [Source:UniProtKB/Swiss-Prot;Acc:Q16RL8]	GO:0006464	cellular protein modification process
5574073	Kelch-like protein diablo [Source:UniProtKB/Swiss-Prot;Acc:Q16RL8]	GO:0022607	cellular component assembly
5574073	Kelch-like protein diablo [Source:UniProtKB/Swiss-Prot;Acc:Q16RL8]	GO:0048856	anatomical structure development
5574073	Kelch-like protein diablo [Source:UniProtKB/Swiss-Prot;Acc:Q16RL8]	GO:0040007	growth
5574073	Kelch-like protein diablo [Source:UniProtKB/Swiss-Prot;Acc:Q16RL8]	GO:0008150	biological_process
5568537	Cell adhesion molecule [Source:UniProtKB/TrEMBL;Acc:A0A1S4FFB1]	GO:0003674	molecular_function
5573934		GO:0003674	molecular_function
5573934		GO:0008150	biological_process
5573934		GO:0008168	methyltransferase activity
110674143		GO:0003674	molecular_function
110674143		GO:0003677	DNA binding
5572020	prosialokinin precursor [Source:VB Community Annotation]	GO:0008150	biological_process
5572020	prosialokinin precursor [Source:VB Community Annotation]	GO:0007165	signal transduction
5572020	prosialokinin precursor [Source:VB Community Annotation]	GO:0005575	cellular_component
5572020	prosialokinin precursor [Source:VB Community Annotation]	GO:0005576	extracellular region
5572494		GO:0016491	oxidoreductase activity
5572494		GO:0003674	molecular_function
5572494		GO:0006520	cellular amino acid metabolic process
5572494		GO:0009058	biosynthetic process
5572494		GO:0008150	biological_process
5572494		GO:0044281	small molecule metabolic process
5572246	serine protease [Source:VB Community Annotation]	GO:0008150	biological_process
